authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Seth, Prahlad Kishore",Biotech Park,ind,312,1964,2023,"172,405","4,727",33,18.1790,3,50,24,274,206,"2,778",3.2522,"4,100",1.1529,264,11.05%,"177,044","5,314",36,20.4563,3,50,24,285,206,"3,151",3.2951,"4,391",1.2102,272,0,0,16,Toxicology,0.2990,Pharmacology & Pharmacy,0.1511,Clinical Medicine,0.4148,857,839,"65,055"
"Verma, Akhilesh K.",University of Delhi,ind,144,2002,2024,"172,528","4,505",36,15.4198,1,14,23,"1,246",118,"2,810",3.2519,"3,854",1.1689,132,16.93%,"167,758","5,423",40,16.4865,1,14,23,"1,575",118,"3,532",3.3170,"4,128",1.3137,133,0,0,4,Organic Chemistry,0.7431,Medicinal & Biomolecular Chemistry,0.0625,Chemistry,0.9236,"2,991","2,963","170,049"
"Rajesh Banu, J.",Central University of Tamil Nadu,ind,357,2000,2024,"172,586","8,799",48,21.2908,0,0,72,"1,630",196,"4,703",3.2518,"6,833",1.2877,321,25.08%,"144,624","11,745",58,26.3428,0,0,72,"2,130",196,"6,470",3.3758,"7,367",1.5943,334,0,0,1,Biotechnology,0.3249,Environmental Sciences,0.1949,Enabling & Strategic Technologies,0.5734,439,539,"62,673"
"Kumar, Devendra",Delhi Technological University,ind,113,1997,2024,"172,779","3,349",26,14.4623,6,156,11,587,45,"1,575",3.2513,"3,139",1.0669,100,9.54%,"177,167","3,702",29,15.9718,6,167,11,618,45,"1,666",3.2948,"3,295",1.1235,103,0,0,0,Polymers,0.4071,Analytical Chemistry,0.0973,Chemistry,0.6726,"1,660","1,556","116,445"
"Purohit, Hemant J.",National Environmental Engineering Research Institute India,ind,295,1994,2024,"172,789","5,643",40,19.1734,3,42,19,169,151,"2,611",3.2513,"4,948",1.1405,260,22.41%,"146,821","7,273",46,22.6036,3,49,19,234,151,"3,484",3.3699,"5,444",1.3360,274,0,0,7,Microbiology,0.2397,Biotechnology,0.1986,Biomedical Research,0.3082,"3,512","4,167","204,759"
"Bhattacharya, Samaresh",Jadavpur University,ind,156,1984,2024,"172,943","3,020",31,17.5111,2,56,13,483,143,"2,639",3.2509,"2,092",1.4436,146,31.13%,"128,401","4,385",39,21.9469,2,84,13,582,143,"3,829",3.4220,"2,298",1.9082,153,0,0,0,Inorganic & Nuclear Chemistry,0.6538,Organic Chemistry,0.1603,Chemistry,0.9679,855,"1,054","75,463"
"Das, Manik Lal",Dhirubhai Ambani Institute of Information and Communication Technology,ind,103,2004,2024,"172,976","1,971",16,9.7000,10,644,28,"1,429",82,"1,745",3.2509,"1,833",1.0753,80,3.43%,"185,364","2,041",17,10.9000,10,651,28,"1,455",82,"1,798",3.2762,"1,885",1.0828,82,0,0,0,Artificial Intelligence & Image Processing,0.4757,Networking & Telecommunications,0.2427,Information & Communication Technologies,0.9029,"3,814","3,502","399,064"
"Singh, Richa",Indian Institute of Technology Jodhpur,ind,348,2002,2024,"173,205","7,070",50,23.4122,1,2,26,731,140,"2,907",3.2503,"5,383",1.3134,292,14.98%,"180,969","8,316",51,25.1455,1,2,26,867,140,"3,323",3.2861,"5,722",1.4533,306,0,0,4,Artificial Intelligence & Image Processing,0.8213,Networking & Telecommunications,0.0403,Information & Communication Technologies,0.9337,"3,721","3,510","399,064"
"Ray, S.",Indian Institute of Technology Mandi,ind,140,1976,2017,"173,253","2,626",28,16.9667,6,232,7,241,104,"1,843",3.2502,"2,126",1.2352,136,13.53%,"178,952","3,037",31,18.0500,6,239,7,248,104,"2,138",3.2906,"2,336",1.3001,137,0,0,3,Materials,0.6357,Mechanical Engineering & Transports,0.1429,Enabling & Strategic Technologies,0.6714,"2,592","2,402","299,561"
"Kumar, Rajesh",Central University of Rajasthan,ind,207,1997,2024,"173,271","4,791",25,12.1873,12,62,83,685,132,"4,088",3.2502,"4,677",1.0244,145,9.67%,"148,856","5,304",28,14.7730,12,103,83,883,132,"4,343",3.3646,"4,945",1.0726,162,1,0,1,Materials,0.1019,Applied Physics,0.0825,Enabling & Strategic Technologies,0.2524,"2,120","2,403","299,561"
"Prasad, Ram",Mahatma Gandhi Central University,ind,358,1967,2024,"173,563","7,119",41,16.4813,5,3,32,"1,606",149,"3,501",3.2495,"5,642",1.2618,262,9.08%,"187,686","7,830",43,17.6389,5,3,32,"1,694",149,"3,757",3.2711,"6,047",1.2949,268,2,12,3,Plant Biology & Botany,0.1216,Biotechnology,0.0912,Enabling & Strategic Technologies,0.3191,"2,739","2,527","174,582"
"Mandal, Santi M.",Indian Institute of Technology Kharagpur,ind,167,2006,2024,"173,580","3,488",33,14.8600,4,25,53,"1,538",99,"2,076",3.2495,"3,289",1.0605,150,16.19%,"169,720","4,162",37,16.0739,4,28,53,"1,754",99,"2,407",3.3124,"3,652",1.1396,156,0,0,2,Microbiology,0.1768,Organic Chemistry,0.0915,Biomedical Research,0.3841,"4,056","4,189","204,759"
"Vijayan, Mamannamana",Indian Institute of Science,ind,252,1969,2022,"173,644","4,049",34,16.8421,31,59,33,244,214,"3,339",3.2493,"2,913",1.3900,216,32.58%,"105,746","6,006",43,21.8790,31,146,33,384,214,"5,046",3.4952,"3,231",1.8589,230,0,0,0,Biochemistry & Molecular Biology,0.4462,Biophysics,0.1474,Biomedical Research,0.6614,"4,044","6,312","208,384"
"Basu, Rajendra N.",Central Glass and Ceramic Research Institute India,ind,191,1974,2024,"174,168","3,350",30,15.9929,16,56,42,547,147,"2,722",3.2480,"2,988",1.1212,166,16.54%,"164,321","4,014",33,18.3595,16,62,42,666,147,"3,224",3.3254,"3,239",1.2393,169,0,0,1,Materials,0.3194,Energy,0.2670,Enabling & Strategic Technologies,0.6649,"2,367","2,421","299,561"
"Selvamurugan, N.",SRM Institute of Science and Technology,ind,179,1988,2024,"174,314","10,296",55,20.1413,0,0,15,740,135,"7,331",3.2476,"8,553",1.2038,162,14.67%,"169,757","12,066",61,22.3770,0,0,15,939,135,"8,681",3.3123,"8,933",1.3507,166,0,0,31,Polymers,0.3184,Biochemistry & Molecular Biology,0.1955,Chemistry,0.3520,"1,579","1,569","116,445"
"Singh, Kehar",The NorthCap University,ind,304,1966,2024,"174,520","4,242",28,18.7500,10,85,33,145,285,"4,202",3.2472,"2,826",1.5011,190,19.99%,"164,223","5,302",33,21.0833,10,85,33,166,285,"5,221",3.3257,"3,053",1.7367,203,0,0,1,Optoelectronics & Photonics,0.4211,Optics,0.3618,Physics & Astronomy,0.4868,605,597,"120,816"
"Bharatam, Prasad V.","National Institute of Pharmaceutical Education and Research, Mohali",ind,316,1997,2024,"174,531","4,338",32,19.9245,2,24,29,497,199,"2,788",3.2472,"3,853",1.1259,279,28.07%,"141,664","6,031",37,23.8111,2,27,29,735,199,"4,031",3.3836,"4,530",1.3313,294,0,0,3,Organic Chemistry,0.3270,Medicinal & Biomolecular Chemistry,0.1810,Chemistry,0.6571,"2,526","2,989","170,049"
"Sinha, V. R.",University Institute of Pharmaceutical Sciences,ind,123,1990,2024,"174,540","6,696",33,17.4952,0,0,49,"5,363",99,"6,315",3.2471,"6,110",1.0959,111,2.62%,"201,548","6,876",33,18.0786,0,0,49,"5,424",99,"6,441",3.2415,"6,237",1.1025,112,0,0,8,Pharmacology & Pharmacy,0.6585,Medicinal & Biomolecular Chemistry,0.0569,Clinical Medicine,0.7154,"1,945","1,682","148,458"
"Kumari, Mahesh",Indian Institute of Science,ind,148,1978,2016,"174,944","1,787",23,17.0333,8,94,113,"1,394",136,"1,653",3.2461,"1,360",1.3140,127,8.59%,"187,969","1,955",24,17.8667,8,99,113,"1,492",136,"1,814",3.2705,"1,479",1.3218,127,0,0,3,Mechanical Engineering & Transports,0.7162,Energy,0.0608,Engineering,0.7973,"1,462","1,288","143,311"
"Rela, Mohamed",Bharath Institute of Higher Education and Research,ind,537,1993,2024,"175,000","13,131",59,22.4105,0,0,40,747,286,"3,677",3.2460,"11,286",1.1635,460,12.33%,"177,984","14,978",65,24.3667,0,0,40,878,286,"4,140",3.2929,"12,316",1.2161,469,0,0,13,Surgery,0.4507,Gastroenterology & Hepatology,0.2011,Clinical Medicine,0.9553,"1,531","1,585","132,828"
"Khandelwal, Niranjan","Postgraduate Institute of Medical Education & Research, Chandigarh",ind,692,1987,2024,"175,014","8,280",40,19.9668,1,12,18,230,402,"3,950",3.2459,"7,614",1.0875,592,13.47%,"178,550","9,569",45,21.9290,1,12,18,231,402,"4,685",3.2916,"8,260",1.1585,602,0,0,9,Nuclear Medicine & Medical Imaging,0.2645,Neurology & Neurosurgery,0.1344,Clinical Medicine,0.9249,"1,596","1,603","116,246"
"Saini, Parveen",CSIR-National Physical Laboratory,ind,91,2007,2024,"175,238","3,517",28,11.5457,8,45,32,"1,977",50,"2,185",3.2455,"2,678",1.3133,70,14.11%,"179,282","4,095",29,12.0790,8,52,32,"2,277",50,"2,496",3.2899,"2,861",1.4313,71,0,0,6,Applied Physics,0.1573,Materials,0.1236,Enabling & Strategic Technologies,0.3371,"5,197","4,788","304,738"
"Das, Debajyoti",Indian Association for the Cultivation of Science,ind,218,1985,2024,"175,532","2,526",27,15.1873,10,90,79,948,181,"1,698",3.2448,"2,257",1.1192,178,39.06%,"75,391","4,145",39,25.5802,10,274,79,"1,732",181,"3,100",3.6151,"2,535",1.6351,189,0,0,0,Applied Physics,0.5000,Materials,0.1468,Physics & Astronomy,0.6697,"2,026","4,801","304,738"
"Kumar, Rajneesh",Kurukshetra University,ind,426,1985,2024,"175,608","2,486",22,15.5833,4,53,340,"1,812",386,"2,249",3.2446,"1,534",1.6206,352,38.34%,"126,737","4,032",26,19.9167,4,63,340,"2,866",386,"3,574",3.4272,"2,092",1.9273,376,0,0,0,Mechanical Engineering & Transports,0.4118,Materials,0.1176,Engineering,0.4753,985,"1,291","143,311"
"Upadhyaya, Anish",Indian Institute of Technology Kanpur,ind,122,1995,2024,"176,248","2,448",26,14.9262,5,147,20,698,72,"1,584",3.2431,"1,913",1.2797,99,16.73%,"165,742","2,940",31,16.5429,5,163,20,805,72,"1,834",3.3219,"2,117",1.3888,110,0,0,4,Materials,0.8443,Food Science,0.0410,Enabling & Strategic Technologies,0.8525,"2,385","2,462","299,561"
"Kandasubramanian, Balasubramanian",Defence Institute of Advanced Technology,ind,329,2002,2024,"176,257","7,284",45,28.7429,3,7,8,79,276,"6,590",3.2431,"6,774",1.0753,282,30.66%,"110,553","10,505",55,36.9762,3,17,8,145,276,"9,400",3.4788,"7,100",1.4796,305,0,0,1,Polymers,0.2508,Chemical Engineering,0.1437,Chemistry,0.4067,"1,040","1,585","116,445"
"Debnath, Ujjal","Indian Institute of Engineering Science and Technology, Shibpur",ind,244,2002,2024,"176,297","1,807",21,13.7833,37,294,66,821,215,"1,663",3.2430,"1,375",1.3142,181,31.00%,"129,905","2,619",26,17.2833,37,408,66,"1,160",215,"2,392",3.4175,"1,691",1.5488,204,0,0,0,Nuclear & Particle Physics,0.7172,Astronomy & Astrophysics,0.1270,Physics & Astronomy,0.9467,"2,368","2,794","151,105"
"Darpe, Ashish",Indian Institute of Technology Delhi,ind,81,2002,2024,"176,408","2,193",25,13.2500,4,217,10,739,34,"1,598",3.2427,"1,641",1.3364,65,7.00%,"194,923","2,358",26,13.8333,4,217,10,770,34,"1,683",3.2553,"1,713",1.3765,66,0,0,2,Acoustics,0.4938,Mechanical Engineering & Transports,0.1605,Physics & Astronomy,0.5556,535,472,"35,283"
"Kumar, Sanjeev",Indian Institute of Science,ind,60,1986,2024,"176,434","3,268",22,11.9000,3,51,20,"2,259",52,"2,706",3.2426,"2,511",1.3015,53,4.36%,"190,761","3,417",23,12.9000,3,54,20,"2,321",52,"2,833",3.2644,"2,585",1.3219,53,0,0,0,Chemical Engineering,0.6000,Chemical Physics,0.1000,Engineering,0.6667,995,894,"79,314"
"Dutta, Suman","Indian Institute of Technology (Indian School of Mines), Dhanbad",ind,57,2008,2024,"176,464","2,061",19,10.8333,8,609,14,774,38,"1,591",3.2425,"2,017",1.0218,49,4.76%,"195,557","2,164",21,10.8333,8,612,14,785,38,"1,666",3.2540,"2,075",1.0429,50,0,0,1,Chemical Engineering,0.3462,Energy,0.1346,Engineering,0.4423,"1,026",895,"79,314"
"Kumar, V. L.","All India Institute of Medical Sciences, New Delhi",ind,118,1986,2024,"176,468","5,730",29,17.7266,3,4,55,"2,566",84,"3,418",3.2425,"4,737",1.2096,106,5.59%,"193,932","6,069",31,18.4604,3,4,55,"2,668",84,"3,631",3.2575,"4,887",1.2419,106,0,0,12,Medicinal & Biomolecular Chemistry,0.1356,Pharmacology & Pharmacy,0.1102,Clinical Medicine,0.6017,783,674,"105,998"
"Singh, Sanjay K.",Indian Institute of Technology Indore,ind,95,2004,2024,"176,632","3,611",28,13.4647,1,28,20,"1,603",75,"2,839",3.2421,"2,664",1.3555,89,13.11%,"179,717","4,156",30,14.3258,1,30,20,"1,860",75,"3,258",3.2889,"2,851",1.4577,89,0,0,39,Organic Chemistry,0.4255,Inorganic & Nuclear Chemistry,0.3404,Chemistry,0.8830,"3,166","3,019","170,049"
"Gupta, Ravi P.",Indian Institute of Technology Roorkee,ind,70,1973,2018,"176,747","3,754",30,12.2500,4,78,22,655,51,"2,553",3.2419,"3,025",1.2410,63,7.24%,"189,518","4,047",31,13.2500,4,80,22,711,51,"2,745",3.2671,"3,139",1.2893,66,0,0,10,Geological & Geomatics Engineering,0.4571,Geochemistry & Geophysics,0.1143,Engineering,0.6143,945,860,"69,076"
"Bhandari, Ashish Kumar",National Institute of Technology Patna,ind,91,2011,2024,"176,779","2,154",25,14.8667,2,79,36,"1,447",69,"1,766",3.2419,"1,566",1.3755,81,20.60%,"161,928","2,713",29,16.9500,2,83,36,"1,800",69,"2,171",3.3313,"1,666",1.6285,83,0,0,5,Artificial Intelligence & Image Processing,0.4066,Industrial Engineering & Automation,0.1099,Information & Communication Technologies,0.6154,"3,307","3,585","399,064"
"Singh, N. K.",National Institute for Plant Biotechnology,ind,352,1984,2024,"176,903","16,603",56,18.0888,1,0,15,"1,052",143,"3,743",3.2416,"13,519",1.2281,311,20.22%,"172,557","20,811",61,20.7934,1,0,15,"1,175",143,"4,478",3.3055,"15,887",1.3099,322,2,15,21,Plant Biology & Botany,0.5931,Biotechnology,0.1146,Biology,0.6447,"2,499","2,576","174,582"
"Gupta, Satya P.",Meerut Institute of Engineering & Technology,ind,195,1977,2024,"176,917","1,486",18,13.4500,44,494,108,"1,049",162,"1,307",3.2415,"1,223",1.2150,147,14.05%,"177,509","1,729",20,14.6762,44,518,108,"1,160",162,"1,481",3.2940,"1,313",1.3168,159,0,0,2,Medicinal & Biomolecular Chemistry,0.4105,Biochemistry & Molecular Biology,0.1579,Chemistry,0.5684,707,677,"105,998"
"Bandyopadhyay, Somshubhro",Bose Institute,ind,66,1999,2024,"176,926","1,640",20,11.8333,12,374,51,"1,312",57,"1,385",3.2415,"1,382",1.1867,56,8.69%,"185,764","1,796",21,12.8333,12,392,51,"1,424",57,"1,525",3.2753,"1,453",1.2361,58,0,0,1,General Physics,0.7576,Mathematical Physics,0.0758,Physics & Astronomy,0.9242,"1,304","1,143","78,538"
"Chandel, Shyam Singh",Shoolini University,ind,80,1978,2024,"176,958","5,530",31,16.7429,2,5,17,"1,451",61,"5,146",3.2415,"4,941",1.1192,70,6.75%,"156,327","5,930",35,18.7429,2,12,17,"1,515",61,"5,505",3.3453,"5,084",1.1664,74,0,0,4,Energy,0.7500,Electrical & Electronic Engineering,0.0375,Enabling & Strategic Technologies,0.8000,"2,208","2,543","313,936"
"Chaturvedi, Umesh C.",King George's Medical University,ind,240,1966,2014,"177,002","3,463",31,13.3920,7,30,76,"1,170",176,"3,060",3.2414,"2,709",1.2783,147,18.75%,"162,180","4,262",34,15.1837,7,38,76,"1,446",176,"3,654",3.3307,"2,793",1.5260,189,0,0,1,General & Internal Medicine,0.3167,Microbiology,0.2000,Clinical Medicine,0.6000,"1,937","2,291","333,256"
"Modak, Jayant M.",Indian Institute of Science,ind,118,1985,2022,"177,075","3,548",34,19.7833,5,50,17,447,56,"1,464",3.2412,"3,144",1.1285,112,9.79%,"186,229","3,933",38,20.7833,5,50,17,489,56,"1,591",3.2744,"3,364",1.1691,112,0,0,1,Chemical Engineering,0.2821,Biotechnology,0.2051,Engineering,0.4701,971,901,"79,314"
"Jha, Prafulla K.",The Maharaja Sayajirao University of Baroda,ind,407,1991,2024,"177,140","4,010",30,17.8412,8,56,50,318,294,"2,777",3.2411,"3,469",1.1560,324,27.01%,"128,907","5,494",36,21.7658,8,85,50,560,294,"3,767",3.4205,"4,065",1.3515,348,0,0,16,Applied Physics,0.3030,General Physics,0.1724,Physics & Astronomy,0.6256,"3,636","4,853","304,738"
"Sharma, Geeta",Govind Ballabh Pant University of Agriculture and Technology,ind,148,1983,2016,"177,167","3,090",31,15.9036,2,28,64,"1,202",113,"2,325",3.2410,"2,617",1.1807,125,12.76%,"169,764","3,542",35,17.1536,2,37,64,"1,362",113,"2,629",3.3123,"2,837",1.2485,131,0,0,2,Applied Physics,0.5946,Energy,0.0743,Physics & Astronomy,0.6622,"4,894","4,855","304,738"
"Dey, Abhijit","Presidency University, Kolkata",ind,427,2010,2024,"177,512","3,711",28,14.3991,4,86,43,730,175,"1,594",3.2402,"3,459",1.0729,326,24.30%,"149,385","4,902",33,17.3171,4,98,43,961,175,"2,116",3.3631,"3,933",1.2464,338,5,20,17,Plant Biology & Botany,0.1904,Biotechnology,0.0843,Biology,0.2699,"2,160","2,585","174,582"
"Pathania, Deepak",Central University of Jammu,ind,149,2002,2024,"177,532","5,808",44,18.3175,1,2,41,"1,881",79,"2,874",3.2401,"4,863",1.1943,136,17.98%,"173,843","7,081",51,19.7953,1,2,41,"2,193",79,"3,354",3.3025,"5,262",1.3457,138,0,0,4,Polymers,0.2313,Environmental Sciences,0.1565,Chemistry,0.3469,"1,621","1,593","116,445"
"Shukla, Priyadarshi Ramprasad",Ahmedabad University,ind,105,1992,2024,"177,564","3,159",29,17.9637,7,109,29,363,60,"1,588",3.2401,"2,704",1.1683,97,13.85%,"166,686","3,667",32,19.4406,7,139,29,475,60,"1,835",3.3196,"2,944",1.2456,98,0,0,0,Energy,0.3846,Meteorology & Atmospheric Sciences,0.1731,Enabling & Strategic Technologies,0.4615,"2,361","2,551","313,936"
"Behera, Bijoya Kumar",Indian Institute of Technology Delhi,ind,209,1989,2024,"177,565","1,968",24,15.8429,10,118,85,"1,032",170,"1,630",3.2401,"1,614",1.2193,161,23.78%,"157,636","2,582",29,18.5429,10,122,85,"1,239",170,"2,053",3.3421,"1,827",1.4132,178,0,0,1,Materials,0.6923,Polymers,0.1779,Enabling & Strategic Technologies,0.7404,"2,274","2,469","299,561"
"Mathew, Joseph L.","Postgraduate Institute of Medical Education & Research, Chandigarh",ind,320,2000,2024,"177,600","3,665",24,12.0475,65,318,154,600,186,"1,068",3.2400,"3,589",1.0212,199,15.06%,"168,813","4,315",26,14.1447,65,363,154,704,186,"1,210",3.3146,"4,093",1.0542,222,1,16,6,Pediatrics,0.4125,General & Internal Medicine,0.1250,Clinical Medicine,0.8688,931,"1,026","73,885"
"Pandey, Pulak Mohan",Indian Institute of Technology Delhi,ind,236,1996,2024,"177,607","6,059",39,24.7917,1,2,8,848,153,"3,788",3.2400,"4,506",1.3447,216,16.02%,"170,268","7,215",46,28.9583,1,2,8,876,153,"4,573",3.3111,"4,830",1.4938,222,0,0,3,Industrial Engineering & Automation,0.3447,Materials,0.2553,Engineering,0.6213,"1,320","1,326","113,906"
"Chatterjee, Ashok",GITAM University,ind,177,1983,2024,"177,748","1,785",20,14.9500,15,290,31,731,168,"1,675",3.2397,"1,345",1.3271,118,31.00%,"132,287","2,587",26,19.7333,15,355,31,888,168,"2,430",3.4104,"1,524",1.6975,137,0,0,0,Applied Physics,0.3785,General Physics,0.3333,Physics & Astronomy,0.9266,"3,727","4,872","304,738"
"Kothari, V. K.",Indian Institute of Technology Delhi,ind,238,1974,2024,"177,751","3,053",29,18.0333,10,60,90,674,165,"1,605",3.2396,"2,265",1.3479,183,11.86%,"187,230","3,464",31,18.9833,10,60,90,761,165,"1,784",3.2721,"2,433",1.4238,192,0,0,0,Materials,0.6511,Polymers,0.1319,Enabling & Strategic Technologies,0.7021,"2,711","2,475","299,561"
"Kailasa, Suresh Kumar",S. V. National Institute of Technology,ind,259,2008,2024,"177,805","7,153",46,23.9920,0,0,67,"1,277",191,"5,122",3.2395,"5,363",1.3338,220,17.17%,"165,518","8,636",52,27.9753,0,0,67,"1,646",191,"6,249",3.3225,"5,732",1.5066,229,0,0,5,Analytical Chemistry,0.3412,Chemical Physics,0.1686,Chemistry,0.5804,"1,321","1,423","122,576"
"Tripathi, Y. B.",Banaras Hindu University,ind,130,1983,2023,"177,932","2,728",29,15.6421,8,38,56,"1,152",111,"2,354",3.2392,"2,470",1.1045,113,13.09%,"178,676","3,139",31,16.5421,8,45,56,"1,317",111,"2,708",3.2913,"2,657",1.1814,117,0,0,0,Medicinal & Biomolecular Chemistry,0.1923,General & Internal Medicine,0.1308,Clinical Medicine,0.4846,710,684,"105,998"
"Rao, D. Narayana",University of Hyderabad,ind,269,1983,2024,"177,956","5,369",39,18.6977,2,38,17,157,160,"3,156",3.2392,"4,683",1.1465,207,20.76%,"167,347","6,776",44,20.8893,2,39,17,201,160,"3,800",3.3181,"5,313",1.2754,227,0,0,5,Optoelectronics & Photonics,0.2007,Applied Physics,0.1970,Physics & Astronomy,0.5130,619,610,"120,816"
"Saraf, A. K.",Indian Institute of Technology Roorkee,ind,99,1988,2023,"178,034","2,639",29,13.9429,5,61,37,"1,147",58,"1,976",3.2390,"2,148",1.2286,85,11.26%,"184,423","2,974",31,14.5095,5,71,37,"1,230",58,"2,217",3.2784,"2,329",1.2769,87,0,0,1,Geological & Geomatics Engineering,0.5204,"Strategic, Defence & Security Studies",0.0816,Engineering,0.6224,910,864,"69,076"
"Senroy, Nilanjan",Indian Institute of Technology Delhi,ind,147,2006,2024,"178,083","2,865",24,14.7000,1,118,11,632,107,"2,218",3.2388,"2,551",1.1231,124,10.94%,"185,162","3,217",26,15.9500,1,124,11,666,107,"2,431",3.2767,"2,738",1.1749,132,0,0,1,Energy,0.7143,Electrical & Electronic Engineering,0.1973,Enabling & Strategic Technologies,0.7347,"2,692","2,563","313,936"
"Venkatesan, J.",Yenepoya (Deemed to be University),ind,180,2010,2024,"178,307","7,551",45,16.3052,0,0,62,"3,976",89,"4,127",3.2383,"6,604",1.1434,151,6.49%,"194,449","8,075",49,16.6719,0,0,62,"4,252",89,"4,422",3.2563,"6,804",1.1868,155,1,150,9,Polymers,0.1299,Nanoscience & Nanotechnology,0.0621,Chemistry,0.3333,"1,827","1,605","116,445"
"Kaith, Balbir Singh",Dr. B.R. Ambedkar National Institute of Technology,ind,208,1990,2024,"178,399","5,845",34,17.9492,2,17,53,974,103,"1,505",3.2381,"4,921",1.1878,186,21.49%,"138,757","7,445",46,21.2889,2,17,53,"1,520",103,"2,283",3.3918,"5,281",1.4098,190,1,2,5,Polymers,0.4951,Materials,0.0735,Chemistry,0.7059,"1,313","1,606","116,445"
"Mohanty, Kaustubha",Indian Institute of Technology Guwahati,ind,223,2005,2024,"178,425","6,084",43,24.9338,0,0,16,"1,413",185,"5,573",3.2380,"5,358",1.1355,199,10.16%,"192,720","6,772",45,26.6576,0,0,16,"1,462",185,"6,200",3.2601,"5,617",1.2056,201,0,0,4,Energy,0.2477,Chemical Engineering,0.2202,Enabling & Strategic Technologies,0.5000,"2,831","2,570","313,936"
"Padhye, Subhash",Savitribai Phule Pune University,ind,223,1974,2023,"178,567","10,961",55,19.9511,0,0,19,"1,653",52,"2,727",3.2376,"8,951",1.2246,208,12.28%,"191,177","12,496",59,20.7122,0,0,19,"1,810",52,"2,980",3.2634,"9,582",1.3041,211,4,859,49,Inorganic & Nuclear Chemistry,0.3318,Medicinal & Biomolecular Chemistry,0.2108,Chemistry,0.6278,"1,278","1,091","75,463"
"Gupta, Bhuvanesh",Indian Institute of Technology Delhi,ind,205,1983,2024,"178,815","6,141",35,20.9718,0,0,77,"3,591",168,"5,089",3.2371,"5,107",1.2025,183,14.10%,"174,953","7,149",41,23.2885,0,0,77,"4,092",168,"5,857",3.2999,"5,362",1.3333,185,0,0,2,Polymers,0.6195,Materials,0.0829,Chemistry,0.6780,"1,632","1,609","116,445"
